"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Keeping Invention Confidential","https://scispace.com/paper/keeping-invention-confidential-gqgt46j1ok1z","2025","Journal Article","Management Science","Colleen Cunningham
Aldona Kapacinskaite","10.1287/mnsc.2022.01138","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides extensive well‑level data on trade‑secret use and productivity after DTSA, but does not compare patents vs trade secrets nor detail firm decision processes.","This study investigates the use of a prevalent but rarely studied form of intellectual property protection: trade secrecy. Building on existing survey evidence of firm-level, cross-sectional use of secrecy, we document the effect of stronger legal protections for trade secrets on the project-level use of such secrets. Our setting is the U.S. oil and gas hydraulic fracturing industry, from 2014 to 2018, in states where firms are required to disclose fracturing fluid ingredients to regulators except for substantiated claims of trade secrets. We examine how the enactment of the federal 2016 Defend Trade Secrets Act (DTSA) affects well-level trade secret use across states with varying levels of pre-DTSA protection. We find substantial increases in the use and novelty of trade secrets. Further, wells with trade secret ingredients are, on average, more productive. However, the DTSA exerts limited additional effect on trade secret–related productivity. Supplementary tests address alternative explanations, show no evidence of intellectual property substitution, and provide additional support that we are capturing policy effects. Our results provide rare empirical evidence on actual trade secret use and enhance our understanding of how appropriability shapes use of trade secrets and associated inventive activity. This paper was accepted by Toby Stuart, entrepreneurship and innovation. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2022.01138 . "
"Secondary patenting of branded pharmaceuticals: a case study of how patents on two HIV drugs could be extended for decades","https://scispace.com/paper/secondary-patenting-of-branded-pharmaceuticals-a-case-study-4xaq47vrpi","2012","Journal Article","Health Affairs","Tahir Amin
Aaron S. Kesselheim","10.1377/HLTHAFF.2012.0107","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides extensive patent timelines and numbers for HIV drugs, but lacks any patent‑vs‑trade‑secret comparison or discussion of trade‑secret decisions.","Pharmaceutical manufacturers rely on patents to protect their intellectual property and often seek to extend market exclusivity for their products to maximize their return on investment. One method is by obtaining patents on features other than the original active drug ingredient, including secondary patents on alternate formulations of the drug or on methods of administration. This article examines how secondary patents can extend market exclusivity and thus delay generic competition, using as an example two key antiretroviral drugs for the management of HIV: ritonavir (Norvir) and lopinavir/ritonavir (Kaletra). We identified 108 patents, which together could delay generic competition until at least 2028—twelve years after the expiration of the patents on the drugs’ base compounds and thirty-nine years after the first patents on ritonavir were filed. Some of the secondary patents that were reviewed were found to be of questionable inventiveness. We argue that increased transparency for existing patents, ..."
"Software Patents and/or Software Development ∗","https://scispace.com/paper/software-patents-and-or-software-development-1j65itnhss","2013","Journal Article","Brooklyn law review","Wendy Seltzer","","https://scispace.com/pdf/software-patents-and-or-software-development-1j65itnhss.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Explores software IP alternatives, reverse‑engineering challenges, and patent vs trade‑secret trade‑offs, but lacks firm‑level data, concrete scenarios, or biopharma/manufacturing specifics.","Many contemporary treatments of the patent system begin with Fritz Machlup’s damning with faint praise. If we did not have a patent system, it would be irresponsible, on the basis of our present knowledge of its economic consequences, to recommend instituting one. But since we have had a patent system for a long time, it would be irresponsible, based on our present knowledge, to recommend abolishing it. and conclude that for all its imperfections, the patent system is still worth keeping. Patent may introduce costs and inefficiencies, this analysis goes, but since patents serve a necessary function as incentives to innovate, we must bear and mitigate their costs. In the case of software patents, I challenge the incentive side of the equation: Patents do not provide a useful incentive to innovation in the software industry, I contend, because the patent promise ill-suits the engineering and development practices and business strategies of software production. The problem is not merely inefficiency in implementation of software patent, but a structural mismatch between where the incentive applies and how software innovation happens. Even an ideally implemented software patent . well examined, fully disclosed and enabling, properly scoped in light of the prior art would fail to serve the incentive functions intended by the Constitution, the Patent Act, and standard patent theory. Previous scholarship, whether critical or congratulatory of software patents, has largely failed to examine the structure of software *Fellow, Berkman Center for Internet & Society at Harvard Law School and Princeton Center for Information Technology Policy. Research performed while a Fellow at Silicon Flatirons Center at University of Colorado School of Law was funded by a generous grant from Brad Feld to the Silicon Flatirons Center. All opinions are those of the author. Previous scholarship, whether critical or congratulatory of software patents, has largely failed to examine the structure of software development and the institutional specifics of patent’s operation in this industry. I therefore look at these mechanics: How is the incentive function of patent believed to operate? How does it operate in the software industry? Does the tool serve its goals? Addressed head-on, even before compounding the issue with side-effects and unintended consequences, I conclude the answer is no, patents do not encourage software innovation.Part I describes the nature of software development, its sources of innovation, and its business environment. This part draws on sources from engineering, computer science, business, and strategy literature, as well as the experiences of commercial and open source software developers. I discuss several ways in which software development differs from the canonical model of manufacturing widgets, the challenges of going from idea to implementation, including prototyping, revising to meet user needs, and debugging. This part shares with the New Institutional Economics literature a focus on the nuts and bolts of how systems function, to identify common frameworks. While market dynamics differ among segments, we can identify commonalities derived from the underlying nature of software.Part II reviews existing legal theories of patent incentives and innovation. It formalizes the mismatch between incentive theory and software patent practice. In many of the accounts that attribute value to software patents, there is a circularity. Startups say patents are important because venture capitalists (VCs) demand them, whereas VCs who look to patents as a signal of capacity or uniqueness are in fact seeing a show aimed at the potential funders rather than to the customer market or a demonstration of genuine novelty. Prospect theory (Kitch) does no better to validate software patents. The claim is staked too early to give the proprietor a useful coordinating or notice function. Additional justifications or explanations for patent, such as knowledge modularity, are at best ambivalent.Part III applies the theories to software more specifically. Where do software developers and venture capital backers seek patents, and how do individuals and firms use them? Looking particularly at the timing of patent’s intervention in the system, I conclude that it encourages invention, not innovation; idea-generation, but not implementation, debugging, and deployment. A player focused on patenting can obtain numerous patents without developing any of the technologies to useful levels of deployment or disclosure, yet leaving a minefield for others who actually deploy software. Hence the troll problem is particularly acute in the software field. Since initial invention is rarely the bottleneck to economically useful software development, software patents more often become entangling thickets than productive incentives. Here I also analyze the alternatives to patent available to protect software development: trade secrecy, copyright, first-mover advantage, market complements.Part IV, finally, uses this analysis to reflect on the institutional dynamics of patent law. Close analysis of software patents and software development adds to the debates over technology-specificity versus uniformity and the proper role of courts versus congress, and assists in better framing the question how to promote the progress of science and useful arts."
"The Law and Economics of Reverse Engineering","https://scispace.com/paper/the-law-and-economics-of-reverse-engineering-5c6tnqhe5p","2002","Journal Article","Yale Law Journal","Pamela Samuelson
Suzanne Scotchmer","10.2307/797533","https://scispace.com/pdf/the-law-and-economics-of-reverse-engineering-5c6tnqhe5p.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on reverse‑engineering law and contract limits; lacks patent‑vs‑trade‑secret comparison or empirical firm data, but offers strong discussion of reverse‑engineering risks and software protection.","II. REVERSE ENGINEERING IN TRADITIONAL MANUFACTURING INDU STRIES ..................................................................................... 1582 A. A Legal Perspective on Reverse Engineering .......................... 1582 B. An Economic Perspective on Reverse Engineering ................. 1585 C. Anti-Plug-Mold Laws: An Exception to Reverse Engineering Rules? .................................................................. 1591"
"A reverse engineering-based model for innovation process in complex product systems: Multiple case studies in the aviation industry","https://scispace.com/paper/a-reverse-engineering-based-model-for-innovation-process-in-46dpe38rzj","2023","Journal Article","Journal of Engineering and Technology Management","Maryam Rozesara
Soroush Ghazinoori
M Manteghi
S. Tabatabaeian","10.1016/j.jengtecman.2023.101765","","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reverse‑engineering case studies in aviation to illustrate innovation processes, providing empirical firm data and detailed timelines, but lacks any patent‑vs‑trade‑secret comparison or IP‑specific scenarios.","Reverse engineering is an activity of innovation based on knowledge and data acquired from the earlier design, which plays a significant role in complex product systems (CoPS) industries. However, no study has yet been conducted on the innovation process based on reverse engineering in these industries. This paper provides a model for this process and addresses hidden and unknown interactions between reverse and forward engineering. We argue how reverse engineering in CoPS projects can lead to the designing and manufacturing of an innovative product. First of all, an analytical framework was developed by reviewing extant literature on reverse engineering and innovation process models. Then, a ten-step process model was developed by a chronological multiple case study of three CoPS in the aviation industry and analyzing reverse and forward engineering in cross-case comparison. The stages of the model included; data evaluation and verification, technical data generation, design verification, design implementation, concept, development, production, utilization, support, and retirement. This model is a complex system of dynamic, iterative, concurrent, recursive, and time-interdependent processes. It is capable of providing a systematic, pragmatic, and detailed framework for better management of the innovation process in CoPS as designed and produced based on reverse engineering. "
"Reverse Engineering: An Industrial Perspective","https://scispace.com/paper/reverse-engineering-an-industrial-perspective-25uoufik2c","2007","Book","","Vinesh Raja
Kiran Jude Fernandes","","","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reverse‑engineering methods, legal considerations, and industry case insights to assess reverse‑engineering risk, but lacks any discussion of patents, trade secrets, or detailed IP decision scenarios.","Reverse engineering is the process of discovering the technological principles of an object or component through analysis of its structure and function. Such analysis can then be used to redesign the object very quickly using computer-aided design in concert with rapid-manufacturing processes to produce small numbers of components adapted to the needs of a particular customer. This way of working has huge benefits of speed and flexibility over traditional mass-production-based design and manufacturing processes. This edited collection of essays from world-leading academic and industrial authors yields insight into all aspects of reverse engineering: The methods of reverse engineering analysis are covered, with special emphasis on the investigation of surface and internal structures. Frequently-used hardware and software are assessed and advice given on the most suitable choice of system. Rapid prototyping is introduced and its relationship with successful reverse engineering is discussed. Importantly, legal matters surrounding reverse engineering are addressed as are other barriers to the adoption of these techniques. Applications of reverse engineering in three significant areas: automotive, aerospace, and medical engineering are reported in depth. Reverse Engineering is a ""must have"" title for anyone working with advanced modern manufacturing technologies, either with a view to researching and improving them further or to making their company leaner and more agile in a competitive manufacturing marketplace."
"Abstractions of reverse engineering in the control and construction of protected software implementations","https://scispace.com/paper/abstractions-of-reverse-engineering-in-the-control-and-482k46luvv","2023","Journal Article","","Nataliya Maslova","10.15407/fmmit2023.37.012","","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses abstraction layers to model reverse‑engineering defenses, focusing on software protection methods. Provides a framework for protecting code and algorithms, but lacks patent‑vs‑trade‑secret comparison, real‑company data, or detailed factual scenarios.","Зворотній інжиніринг має багато застосувань в ІТ.Це задачі сумісності, відтворення застарілих компонентів, аналізу та захисту програмних продуктів.Не зважаючи на актуальність, комплексний підхід до вирішення задач контролю та побудови захищених програмних реалізацій з урахуванням можливостей програмної інженерії та потреб інформаційної безпеки відсутній.В роботі продемонстрована можливість представлення процесу зворотного проєктування у вигляді послідовності абстракцій.Методи аналізу програмних реалізацій статичний, динамічний й, зокрема, експериментів, поєднуються моделлю абстракцій в логічну послідовність.А застосування метрик програмних продуктів надає можливість "
"Legal Protection of Innovative Uses of Computers in R&amp;D","https://scispace.com/paper/legal-protection-of-innovative-uses-of-computers-in-r-d-4j0fnq051fm7","2024","Journal Article","","Madhavi Latha Samala","10.69613/9xxtxg69","https://scispace.compdf/legal-protection-of-innovative-uses-of-computers-in-r-d-4j0fnq051fm7.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses extensive discussion of patents, copyrights, and trade secrets for computational tools in pharma, but lacks direct comparative decision analysis, real‑company data, or concrete scenario details.","The integration of computing technologies in pharmaceutical research and development has raised significant legal, ethical, and market-related considerations. Legal frameworks protect innovative computational methods in pharmaceutical R&amp;D, addressing intellectual property rights, patents, and proprietary software protection. Ethical considerations encompass data privacy, algorithm transparency, and responsible use of artificial intelligence in drug discovery. Market analysis through computational tools has transformed decision-making processes, enabling precise prediction of drug market potential, competitive analysis, and strategic planning. These interconnected aspects form a crucial foundation for modern pharmaceutical development, where computing technologies must balance innovation protection with ethical responsibilities while delivering valuable market insights. "
"Software Protection as a Risk Analysis Process.","https://scispace.com/paper/software-protection-as-a-risk-analysis-process-n2jirh71n4","2020","Posted Content","arXiv: Software Engineering","Daniele Canavese
Leonardo Regano
Cataldo Basile
Bart Coppens
Bjorn De Sutter","","https://scispace.compdf/software-protection-as-a-risk-analysis-process-n2jirh71n4.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on software risk analysis and protection decisions, offering a decision‑support framework for software/code, but lacks patent‑vs‑trade‑secret comparison, real‑company case data, or detailed factual scenarios.","The last years have seen an increase of Man-at-the-End (MATE) attacks against software applications, both in number and severity. However, MATE software protections are dominated by fuzzy concepts and techniques, and security-through-obscurity is omnipresent in this field. In this paper, we present a rationale for adopting and standardizing the protection of software as a risk management process according to the NIST SP800-39 approach. We examine the relevant aspects of formalizing and automating the risk management activities, to instigate the necessary actions for adoption. We highlight the open issues that the research community has to address. We discuss the benefits that such an approach can bring to all stakeholders, from software developers to protections designers, and for the security of all the citizens. In addition, we present a Proof of Concept (PoC) of a decision support system that automates the risk analysis methodology towards the protection of software applications. Despite being in an embryonic stage, the PoC proved during validation with industry experts that several aspects of the risk management process can already be formalized and that it is an excellent starting point for building an industrial-grade decision support system."
"The Secret is Out: Patent Law Preempts Mass Market License Terms Barring Reverse Engineering for Interoperability Purposes","https://scispace.com/paper/the-secret-is-out-patent-law-preempts-mass-market-license-30hvevp7r6","2006","Posted Content","Social Science Research Network","Daniel Laster","","https://law.bepress.com/cgi/viewcontent.cgi?article=4680&context=expresso","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on patent preemption of license bans on reverse engineering; lacks patent‑vs‑trade‑secret comparison, empirical firm data, or detailed factual scenarios.","As patent protection has emerged to protect software, courts and commentators have mistakenly focused on copyright law and overlooked the centrality of patent preemption to limit contract law where a mass market license which prohibits reverse engineering (RE) for purposes of developing interoperable products leads to patent-like protection. Review of copyright fair use cases on RE and Congress's policy favoring RE for interoperability purposes in the Digital Millennium Copyright Act reinforce the case for patent preemption. Also, the fundamental freedom to RE embodied in state trade secret law, coupled with federal patent and copyright law and policies, cumulatively should override a contract barrier on RE based upon the public policy exception to contract enforcement. If courts fail to consider patent and public policy limits on contract, the anomalous result is potential outsourcing of interoperability development to one of the increasing number of foreign jurisdictions where interoperability policy overrides contract law. Ironically, that would harm the U.S. economy and thereby frustrate the purpose of the Intellectual Property Clause of the Constitution. Finally, the patent preemption/public policy invalidation approach to mass market contracts outlined in this article may also provide a new lens whenever a mass market contract results in a de-facto monopoly on useful data."
"Patent Scope and Innovation in the Software Industry","https://scispace.com/paper/patent-scope-and-innovation-in-the-software-industry-1j3ddz4xrr","2001","Journal Article","California Law Review","Julie E. Cohen
Mark A. Lemley","10.15779/Z38ZD8J","https://scispace.com/pdf/patent-scope-and-innovation-in-the-software-industry-1j3ddz4xrr.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on software patent scope and reverse‑engineering issues; lacks trade‑secret comparison, empirical firm data, or detailed factual scenarios.","Introduction 4 I. Software Patents: History, Practice, and Theory 7 A. History: The Section 101 Patentability Debate 8 B. Practice: Anything Goes? 11 C. Theory: Software Patents and the “Prospect” Theory of Patent Scope 14 II. Reverse Engineering Patented Software 16 A. Software-Specific Barriers to Lawful Reverse Engineering of Patented Inventions 17 B. Innovation and Reverse Engineering: An Industry-Based Analysis 21"
"Leveraging intellectual property for strategic advantage in product development","https://scispace.com/paper/leveraging-intellectual-property-for-strategic-advantage-in-4h6bl5j6bv","2005","Journal Article","SA Journal of Information Management","I.A. Khota
A. Stern","10.4102/SAJIM.V7I4.285","https://scispace.com/pdf/leveraging-intellectual-property-for-strategic-advantage-in-4h6bl5j6bv.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Paper discusses IP strategy broadly, mentions patents and trade secrets but lacks direct comparative decision analysis, detailed empirical data, or concrete scenarios; offers strategic portfolio insights.","While contextual embeddedness, creativity and opportunity management should lead to product innovations and product success, sustainable leadership in the knowledge economy demands organizational mechanisms that protect the rights in knowledge and use them to leverage optimum benefit in the public domain. Innovative organizations need to consider knowledge management issues across the product development life cycle, to ensure that intellectual property in products and services is recognized as a strategic lever that is able to optimize knowledge-based benefits, creating sustainable competitive advantages, product leadership and new knowledge creation."
"The Economic Espionage Act-Reverse Engineering and the Intellectual Property Public Policy","https://scispace.com/paper/FObvQAN9AQwJ","","","","CL Uhrich","","https://repository.law.umich.edu/cgi/viewcontent.cgi?article=1141&context=mttlr","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on EE Act and reverse‑engineering policy, offering risk discussion but lacks comparative decision analysis, firm case data, or concrete factual scenario.",""
"Reverse Engineering: Unfair Competition or Catalyst for Innovation?","https://scispace.com/paper/reverse-engineering-unfair-competition-or-catalyst-for-3sur0ntclm","2009","Book Chapter","Social Science Research Network","Ansgar Ohly","10.1007/978-3-540-88743-0_37","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1523649","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes US vs German reverse‑engineering law, detailing how reverse‑engineering risk shapes IP choices, but lacks patent‑vs‑trade‑secret decision comparison, real‑company data, or concrete scenario details.","This article analyzes the position of US and German intellectual property and trade secrets laws with regard to reverse engineering. While there is much consensus between both jurisdictions in the area of IP law, they take opposite positions on trade secret protection. US law has long accepted reverse engineering as a fair means of discovering information, whereas German courts have regarded this practice as being in conflict with trade secrets legislation. This article looks into the law and the policies of reverse engineering and argues that it is not unfair. Even the German statutory provisions, when construed in the light of Article 39 TRIPS, are broad enough to allow the necessary balancing exercise. Whether the use of the information so obtained as a “springboard” for identical copying is permissible is a different matter. The answer to this question should not distinguish between copying enabled by reverse engineering and imitation by means of other technical reproduction measures. When it comes to determining whether the law should prevent “unfair copying”, however, legislations and courts should keep in mind that both a reasonable protection of innovation and freedom of imitation are the lifeblood of a competitive economy."
"Public goods, private contract and public policy: federal preemption of software license prohibitions against reverse engineering","https://scispace.com/paper/n6fDsQwDKgAJ","","","","DA Rice","","","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses federal preemption analysis to discuss reverse‑engineering prohibitions in software licenses, offering a strong risk‑assessment angle but lacking patent‑vs‑trade‑secret comparison, empirical firms, or detailed factual scenarios.",""
"Fragranced consumer products and undisclosed ingredients","https://scispace.com/paper/fragranced-consumer-products-and-undisclosed-ingredients-29aopr3iev","2009","Journal Article","Environmental Impact Assessment Review","Anne Steinemann","10.1016/J.EIAR.2008.05.002","http://national-toxic-encephalopathy-foundation.org/undisclosed.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares patents vs trade secrets, noting trade‑secret indefinite protection and patent disclosure requirements. Highlights chemical formulation protection, emphasizing trade‑secret masking versus composition patents.",""
"Is Competition Policy Possible in High Tech Markets: An Inquiry into Antitrust, Intellectual Property, and Broadband Regulation as Applied to The New Economy","https://scispace.com/paper/is-competition-policy-possible-in-high-tech-markets-an-g23rwlh46u","2001","Journal Article","Case Western Reserve law review","Lawrence A. Sullivan","","https://scispace.com/pdf/is-competition-policy-possible-in-high-tech-markets-an-g23rwlh46u.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses software algorithm protection via patents, copyrights, and contractual safeguards; mentions reverse‑engineering concerns, but lacks comparative patent‑vs‑trade‑secret analysis, empirical firm data, or detailed scenarios.",""
"Fixing a Hole: Will Generic Biologics Find a Niche Within the Hatch-Waxman Act?","https://scispace.com/paper/fixing-a-hole-will-generic-biologics-find-a-niche-within-the-5bsjf8cjam","2009","Journal Article","Fordham Intellectual Property, Media & Entertainment Law Journal","Elysa B. Goldberg","","https://scispace.com/pdf/fixing-a-hole-will-generic-biologics-find-a-niche-within-the-5bsjf8cjam.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly Relevant: Details manufacturing process protection, highlighting trade‑secret masking versus patents. Somewhat Relevant: Compares patent vs trade‑secret decision factors; notes reverse‑engineering difficulty; mentions FDA approval context; outlines broader IP strategy considerations. Not Relevant: No empirical company data, no detailed factual scenario, no software/algorithm focus, no chemical formulation discussion.",""
"The practical defending of malicious reverse engineering","https://scispace.com/paper/the-practical-defending-of-malicious-reverse-engineering-40yp4jpmq1","2015","","","Ce Wang
Siyang Suo","","https://scispace.com/pdf/the-practical-defending-of-malicious-reverse-engineering-40yp4jpmq1.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on malicious reverse engineering harms and interview insights; lacks patent vs trade‑secret comparison, real‑company IP decisions, or detailed factual IP scenarios.",""
"An administrative fix for manufacturing process patent thickets.","https://scispace.com/paper/an-administrative-fix-for-manufacturing-process-patent-4317zvb1oj","2021","Journal Article","Nature Biotechnology","Arti K. Rai
W. Nicholson Price
W. Nicholson Price","10.1038/S41587-020-00780-9","https://scispace.com/pdf/an-administrative-fix-for-manufacturing-process-patent-4317zvb1oj.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses FDA data channel to clarify process‑patent thickets and secret‑use doctrine, offering concrete cost figures but no firm‑level decision analysis or detailed timelines.","Biosimilar manufacturing process patent applications first filed more than a year after the biologic is approved, which represent the largest source of patent assertions in biosimilar litigation, could be addressed without requiring intervention by either the courts or Congress."
"Scaling up and reverse engineering: Acquisition of industrial knowledge by copying drugs in Brazil","https://scispace.com/paper/scaling-up-and-reverse-engineering-acquisition-of-industrial-1ac7elc21y","2008","Other","Research Papers in Economics","Maurice Cassier
Marilena Correa","10.4337/9781848444898.00015","https://shs.hal.science/halshs-02024011/document","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on reverse‑engineering of drugs in Brazil, offering empirical insights and factual details, but lacks direct patent‑vs‑trade‑secret comparison and broader IP strategy discussion.","HAL is a multi-disciplinary open access archive for the deposit and dissemination of scientific research documents, whether they are published or not. The documents may come from teaching and research institutions in France or abroad, or from public or private research centers. L’archive ouverte pluridisciplinaire HAL, est destinée au dépôt et à la diffusion de documents scientifiques de niveau recherche, publiés ou non, émanant des établissements d’enseignement et de recherche français ou étrangers, des laboratoires publics ou privés. Scaling up and reverse engineering Acquisition of industrial knowledge by copying drugs in Brazil Maurice Cassier, Marilena Correa"
"Using Data Exclusivity Grants to Incentivize Cumulative Innovation of Biologics' Manufacturing Processes","https://scispace.com/paper/using-data-exclusivity-grants-to-incentivize-cumulative-3s906h92mp","2017","Journal Article","The American University law review","Eric Lawrence Levi","","https://scispace.com/pdf/using-data-exclusivity-grants-to-incentivize-cumulative-3s906h92mp.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on data‑exclusivity incentives for biologics manufacturing patents; lacks patent‑vs‑trade‑secret comparison, empirical firm data, or detailed case specifics.","The pharmaceutical market is divided into two types of compounds: small-molecule chemical compounds and large-molecule biologics. Due to biologics’ molecular sizes and the current scientific state of biologics manufacturing, manufacturing facilities and processes require frequent reassessment to ensure production of safe, pure, and potent therapeutics. Manufacturers utilize patent and drug regulatory law to protect their investments and simultaneously signal where innovation and investment are lacking. The current four- and twelve-year regimented structures of the Biologics Price, Competition, and Innovation Act do not keep pace with scientific development; biologics manufacturing processes drift with time, and if a manufacturer can obtain a higher degree of process control, then it should not feel restricted to wait until their exclusivity period lapses. Currently, the FDA rarely grants market exclusivity privileges for manufacturing process improvements alone; hence, manufacturing processes--or at least large portions thereof--are typically withheld as trade secrets or strategically claimed within companion composition claims. As a result, significant opportunity exists in regulatory framework to incentivize the research and development of biologics manufacturing processes. By creating a one- to four-year data exclusivity extension opportunity, manufacturers will feel more comfortable reinvesting their returns on investment towards manufacturing efficiency, and manufacturers can capitalize on the complex-molecule nature of their biologic."
"Secrecy and Innovation in Tort Law and Regulation","https://scispace.com/paper/secrecy-and-innovation-in-tort-law-and-regulation-543e82hd0i","1993","Journal Article","New Mexico law review","Mary L. Lyndon","","https://scispace.com/pdf/secrecy-and-innovation-in-tort-law-and-regulation-543e82hd0i.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on chemical trade‑secret regulation and industry comments; offers limited patent comparison, real‑company input, and regulatory facts, but lacks deep empirical or strategic analysis.","Secrecy about negative technological impacts is claimed as an entitlement in a variety of situations, though the practice is coming into question. In the environmental arena, where firms claim exemption from disclosure requirements, the law is developing along a fault line that runs between familiar intellectual property and tort categories. The current resolution -- simply transplanting traditional trade secrecy practice into the regulatory context -- is inadequate.Knowledge about technological effects, such as pollution, has two separate personae. It may be commercially valuable if its distribution is limited, yet it also may be the key to identifying a disease or ecological harm if it is distributed freely in medical and research settings. The two functions of such data -- commercial and scientific -- operate in very different frameworks of meaning. A claim of entitlement in one sphere has effects in the other, but the legal language necessary to compare the two has not been developed. This article attempts to outline a basis for understanding the issues by examining trade secrecy in the context of regulation of chemical pollution.Secrecy is an ambiguous concept and covers a wide range of behaviors. Legal doctrine usually starts from the position that a privilege of secrecy must be justified, perhaps because information is so flexible and productive. Once it is released, information may travel far and quickly. This characteristic itself may explain our ambivalence about secrecy and the fact that, in practice, the law's treatment of claims to information is somewhat uneven. The legal decisionmaker who is called upon to decide whether a secret shall be revealed is placed in a difficult position; as an outsider one cannot fully appreciate the value of the secret or measure the risks of releasing it. The structure of the situation lends rhetorical power -- a “Pandora’s Box” effect -- to claims of entitlements to secrecy. Courts, agencies, and legislatures may respond to secrecy issues in distinct ways, since secrets and the risks of revealing them will be presented differently in litigation, administrative, and legislative settings. Trade secrecy has one meaning in a common law setting and very different implications when it is grafted onto regulation."
"Keeping Invention Confidential","https://scispace.com/paper/keeping-invention-confidential-2px7ljee","2022","Journal Article","Proceedings - Academy of Management","Colleen Cunningham
Aldona Kapacinskaite","10.5465/ambpp.2022.14792abstract","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on trade‑secret adoption in fracking after DTSA, without comparing patents, without firm‑level decision narratives, and lacks detailed IP‑choice scenarios.","This study investigates use of a prevalent but rarely studied form of intellectual property protection: trade secrets. Building on existing survey evidence of firm-level, cross-sectional use of secrecy, we document the effect of stronger legal trade secret protection on the use of trade secrets, and the rate and nature of secret innovation. Our setting is the US oil and gas hydraulic fracturing (fracking) industry, from 2013 to 2018, in states where firms are required to disclose fracking ingredients to regulators barring substantiated claims of trade secrets. We examine how the enactment of the federal 2016 Defend Trade Secrets Act (DTSA) affects well-level trade secret use across states with varying levels of pre-DTSA trade secret protection. We find substantial increases in the use of secrets, the generation of new secrets, the use of both external and internal secrets, and breadth of secret invention, as well as project complexity. Our results provide rare systematic empirical evidence on actual trade secret use and document how stronger formal appropriability shapes secret innovation. "
"Trade protection in the united states: 31 case studies","https://scispace.com/paper/trade-protection-in-the-united-states-31-case-studies-13i3knn5fz","1986","Journal Article","The International Executive","Gary Clyde Hufbauer
Diane T. Berliner
Kimberly Ann Elliott","10.1002/TIE.5060280210","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on U.S. trade protection policies and case studies, unrelated to patents, trade secrets, or IP strategy.","Nicolas Schmitt \""Hufbauer, Gary Clyde, Berliner Diane T. and Elliott, Kimberly Ann, Trade Protection in the United States : 31 Case Studies. Washington (D.C.), Institute for International Economics, 1986, 365 p..\"" Études internationales 181 (1987): 263–264. DOI : 10.7202/702157ar Ce document est protégé par la loi sur le droit d'auteur. L'utilisation des services d'Érudit (y compris la reproduction) est assujettie à sa politique d'utilisation que vous pouvez consulter en ligne. [https://apropos.erudit.org/fr/usagers/politiquedutilisation/]"
